City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,56.34,39,99,3.69,overcast clouds
1,Vaini,TO,-21.2,-175.2,80.76,78,40,11.5,scattered clouds
2,Ilulissat,GL,69.2167,-51.1,19.42,86,47,1.14,scattered clouds
3,New Norfolk,AU,-42.7826,147.0587,63.9,65,98,4.0,overcast clouds
4,Hilo,US,19.7297,-155.09,84.25,74,75,9.22,broken clouds
5,Umm Lajj,SA,25.0213,37.2685,79.16,63,73,1.43,broken clouds
6,Nikolskoye,RU,59.7035,30.7861,37.29,60,3,14.72,clear sky
7,Cape Town,ZA,-33.9258,18.4232,59.41,62,0,19.57,clear sky
8,Puerto Ayora,EC,-0.7393,-90.3518,65.55,98,98,5.99,light rain
9,Mount Gambier,AU,-37.8333,140.7667,50.34,94,100,8.48,light rain
10,Busselton,AU,-33.65,115.3333,53.29,73,82,9.84,broken clouds
11,Pochutla,MX,15.7432,-96.4661,86.83,72,36,5.79,scattered clouds
12,Minsk,BY,53.9,27.5667,44.35,75,71,13.38,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,72.68,76,100,3.98,light rain
14,Katsuura,JP,35.1333,140.3,58.42,67,2,10.45,clear sky
15,Yar-Sale,RU,66.8333,70.8333,29.97,93,100,16.49,overcast clouds
16,Barrow,US,71.2906,-156.7887,21.22,86,100,11.5,light snow
17,Tete,MZ,-16.1564,33.5867,82.85,50,0,4.59,clear sky
18,Robat Karim,IR,35.4846,51.0829,67.12,54,88,9.22,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,57.79,55,100,13.62,overcast clouds
20,Nanortalik,GL,60.1432,-45.2371,25.65,69,99,9.62,overcast clouds
21,Oussouye,SN,12.485,-16.5469,80.33,79,3,5.21,clear sky
22,Alice Springs,AU,-23.7,133.8833,78.35,41,100,11.5,overcast clouds
23,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,3.44,light snow
24,Castro,BR,-24.7911,-50.0119,68.86,84,100,9.93,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,42.46,75,40,36.82,scattered clouds
26,Mount Isa,AU,-20.7333,139.5,87.57,37,2,13.8,clear sky
27,Quimperle,FR,47.8667,-3.55,61.75,88,75,8.05,broken clouds
28,Atuona,PF,-9.8,-139.0333,77.36,74,6,17.27,clear sky
29,Dutlwe,BW,-23.9833,23.9,77.11,37,100,11.14,overcast clouds
